h,t,r/2,zr,cx,cz,thetaWheel_-25,thetaWheel_-24,thetaWheel_-23,thetaWheel_-22,thetaWheel_-21,thetaWheel_-20,thetaWheel_-19,thetaWheel_-18,thetaWheel_-17,thetaWheel_-16,thetaWheel_-15,thetaWheel_-14,thetaWheel_-13,thetaWheel_-12,thetaWheel_-11,thetaWheel_-10,thetaWheel_-9,thetaWheel_-8,thetaWheel_-7,thetaWheel_-6,thetaWheel_-5,thetaWheel_-4,thetaWheel_-3,thetaWheel_-2,thetaWheel_-1,thetaWheel_0,thetaWheel_1,thetaWheel_2,thetaWheel_3,thetaWheel_4,thetaWheel_5,thetaWheel_6,thetaWheel_7,thetaWheel_8,thetaWheel_9,thetaWheel_10,thetaWheel_11,thetaWheel_12,thetaWheel_13,thetaWheel_14,thetaWheel_15,thetaWheel_16,thetaWheel_17,thetaWheel_18,thetaWheel_19,thetaWheel_20,thetaWheel_21,thetaWheel_22,thetaWheel_23,thetaWheel_24,thetaWheel_25
10,93,53,-103.59,-13,-17,11.1236,11.1942,11.2655,11.3375,11.41,11.4831,11.5567,11.6309,11.7056,11.7808,11.8565,11.9326,12.0092,12.0861,12.1635,12.2412,9.96765,7.52149,5.99243,4.78893,3.76901,2.87133,2.06277,1.32303,0.63861,-7.63333e-14,-0.599795,-1.1661,-1.70307,-2.21403,-2.70169,-3.16829,-3.6157,-4.0455,-4.45905,-4.85754,-5.24198,-5.61328,-5.97222,-6.31951,-6.65579,-6.98161,-7.29749,-7.6039,-7.90124,-8.18992,-8.47028,-8.74264,-9.0073,-9.26455,-9.51464
10,88,55,-99.0029,-13,-17,11.0004,11.0742,11.1486,11.2237,11.2994,11.3758,11.4527,11.5302,11.6082,11.6868,11.7659,11.8454,11.9254,12.0058,12.0866,12.1678,9.81171,7.42788,5.92047,4.73171,3.72371,2.83645,2.03739,1.30652,0.630523,0,-0.591969,-1.15065,-1.68018,-2.18383,-2.66431,-3.12382,-3.56423,-3.98711,-4.39382,-4.78552,-5.16324,-5.52786,-5.88018,-6.2209,-6.55064,-6.86998,-7.17942,-7.47942,-7.77041,-8.05277,-8.32685,-8.59297,-8.85145,-9.10255,-9.34653
10,83,57,-94.4157,-13,-17,10.8654,10.9426,11.0205,11.0991,11.1783,11.2582,11.3387,11.4198,11.5015,11.5837,11.6665,11.7497,11.8335,11.9177,12.0023,12.0873,9.64253,7.32466,5.84107,4.66856,3.67373,2.79798,2.0094,1.28832,0.621609,2.54444e-14,-0.583346,-1.13364,-1.65496,-2.15057,-2.62313,-3.07485,-3.50755,-3.92282,-4.322,-4.70624,-5.07655,-5.43383,-5.77887,-6.11235,-6.43492,-6.74712,-7.04947,-7.34244,-7.62643,-7.90184,-8.16902,-8.42829,-8.67995,-8.92429,-9.16156
10,98,49,-108.775,-14,-18,10.987,11.0536,11.1208,11.1885,11.2569,11.3257,11.3951,11.465,11.5354,11.6062,11.6775,11.7492,11.8213,11.8938,11.9666,12.0398,9.75697,7.3838,5.88849,4.70892,3.70793,2.82603,2.03101,1.30313,0.629211,-2.54444e-14,-0.59133,-1.14997,-1.67999,-2.18462,-2.66652,-3.12785,-3.57045,-3.99587,-4.40544,-4.80029,-5.18144,-5.54976,-5.90602,-6.2509,-6.58503,-6.90896,-7.22317,-7.52812,-7.82423,-8.11186,-8.39136,-8.66304,-8.9272,-9.1841,-9.43399
10,93,51,-104.191,-14,-18,10.8452,10.9146,10.9845,11.0551,11.1263,11.198,11.2703,11.3431,11.4164,11.4902,11.5645,11.6392,11.7143,11.7899,11.8658,11.942,9.78383,7.36317,5.86286,4.68409,3.68589,2.80772,2.01693,1.29356,0.624365,5.08889e-14,-0.586395,-1.14004,-1.66501,-2.16456,-2.64134,-3.09755,-3.53501,-3.95528,-4.35968,-4.74938,-5.12537,-5.48853,-5.83963,-6.17937,-6.50835,-6.82714,-7.13624,-7.43608,-7.7271,-8.00965,-8.28409,-8.55073,-8.80987,-9.06178,-9.3067
10,88,53,-99.6065,-14,-18,10.6907,10.7631,10.8361,10.9097,10.9839,11.0588,11.1342,11.2102,11.2867,11.3637,11.4413,11.5192,11.5977,11.6765,11.7558,11.8354,9.81653,7.33994,5.83427,4.6565,3.66148,2.78746,2.00137,1.28301,0.619022,-1.27222e-13,-0.580959,-1.1291,-1.64852,-2.14249,-2.61366,-3.06424,-3.49606,-3.91068,-4.30943,-4.69347,-5.0638,-5.4213,-5.76676,-6.10085,-6.4242,-6.73737,-7.04085,-7.33511,-7.62054,-7.89754,-8.16644,-8.42756,-8.68121,-8.92764,-9.16712
10,98,47,-109.362,-15,-19,10.6971,10.7625,10.8285,10.8951,10.9622,11.0298,11.098,11.1666,11.2357,11.3053,11.3753,11.4458,11.5166,11.5878,11.6593,11.7312,9.70483,7.2777,5.79208,4.62717,3.6413,2.77407,1.99304,1.27845,0.61718,7.63333e-14,-0.57986,-1.12755,-1.64708,-2.14167,-2.61391,-3.06598,-3.49966,-3.91649,-4.31778,-4.70465,-5.07809,-5.43895,-5.788,-6.12592,-6.45331,-6.7707,-7.0786,-7.37744,-7.66761,-7.9495,-8.22344,-8.48973,-8.74866,-9.00049,-9.24546
10,91,50,-103.029,-15,-19,10.562,10.6312,10.7011,10.7716,10.8426,10.9143,10.9865,11.0592,11.1324,11.2062,11.2804,11.355,11.43,11.5055,11.5814,11.6576,9.35534,7.10061,5.66442,4.52955,3.56614,2.71742,1.95252,1.25247,0.604605,5.08889e-14,-0.567929,-1.1042,-1.61272,-2.09665,-2.55852,-3.00046,-3.42422,-3.83133,-4.22305,-4.60051,-4.96466,-5.31637,-5.65638,-5.98536,-6.30391,-6.61256,-6.9118,-7.20207,-7.48376,-7.75724,-8.02285,-8.28089,-8.53164,-8.77538,-9.01233
10,90,65,-100.184,-9,-14,11.3875,11.4663,11.5459,11.6261,11.7069,11.7884,11.8706,11.9533,12.0365,12.1203,12.2046,12.2894,12.3747,12.4604,12.5465,12.633,10.165,7.69048,6.12512,4.89171,3.84694,2.92835,2.10201,1.34709,0.649687,-7.63333e-14,-0.609197,-1.18341,-1.72694,-2.24325,-2.73513,-3.20491,-3.65454,-4.08568,-4.49973,-4.89793,-5.28135,-5.65093,-6.0075,-6.35181,-6.68451,-7.0062,-7.31743,-7.61868,-7.91041,-8.19301,-8.46687,-8.73234,-8.98973,-9.23935,-9.48147
10,93,59,-104.052,-11,-16,11.0488,11.1225,11.1968,11.2717,11.3472,11.4234,11.5001,11.5773,11.6551,11.7334,11.8122,11.8914,11.9711,12.0512,12.1317,12.2125,9.84161,7.44993,5.93703,4.7441,3.73279,2.84287,2.04164,1.30901,0.631613,-1.01778e-13,-0.592782,-1.15203,-1.68189,-2.18568,-2.66609,-3.12535,-3.56535,-3.98766,-4.39364,-4.78448,-5.1612,-5.5247,-5.87577,-6.21513,-6.54341,-6.86118,-7.16895,-7.4672,-7.75634,-8.03677,-8.30884,-8.57288,-8.8292,-9.07808,-9.31978
10,90,60,-101.224,-11,-16,10.9405,11.0161,11.0923,11.1692,11.2468,11.3249,11.4037,11.483,11.5628,11.6432,11.7241,11.8054,11.8872,11.9694,12.0521,12.1351,9.9695,7.47976,5.94738,4.74653,3.73158,2.84015,2.03863,1.30651,0.630169,5.08889e-14,-0.591044,-1.14833,-1.67604,-2.17753,-2.65552,-3.11227,-3.54965,-3.96929,-4.37253,-4.76057,-5.13445,-5.49506,-5.84322,-6.17963,-6.50493,-6.8197,-7.12446,-7.41966,-7.70576,-7.98312,-8.25213,-8.5131,-8.76634,-9.01214,-9.25076
10,95,56,-106.473,-12,-17,10.8811,10.9521,11.0237,11.096,11.1688,11.2422,11.3162,11.3906,11.4656,11.5411,11.6171,11.6935,11.7703,11.8475,11.9251,12.0031,9.63801,7.31059,5.83003,4.66073,3.66852,2.79479,2.00767,1.28756,0.621413,-1.01778e-13,-0.583473,-1.13418,-1.65618,-2.1527,-2.62638,-3.07941,-3.51361,-3.93054,-4.33153,-4.71772,-5.09013,-5.44962,-5.79697,-6.13289,-6.45798,-6.77281,-7.07787,-7.37362,-7.66048,-7.93882,-8.209,-8.47133,-8.7261,-8.9736,-9.21408
10,97,53,-108.872,-13,-18,10.6701,10.7386,10.8077,10.8774,10.9477,11.0185,11.0899,11.1617,11.2341,11.307,11.3803,11.454,11.5281,11.6026,11.6775,11.7527,9.66312,7.25872,5.77663,4.61368,3.62958,2.76424,1.98533,1.27308,0.61438,7.63333e-14,-0.576847,-1.12132,-1.63745,-2.12845,-2.59695,-3.04511,-3.47473,-3.88736,-4.28431,-4.66672,-5.03557,-5.39174,-5.73599,-6.069,-6.39139,-6.7037,-7.00643,-7.30002,-7.58488,-7.86138,-8.12987,-8.39066,-8.64403,-8.89026,-9.1296
