yRC,xRC,Upper Beam,Lower Beam,Ride,Frame Height,Frame h from ground,xL,yL,xR,yR,Upper arm angle,Upper arm length,Lower arm angle,Lower arm length
-6.647105574258996,90.70975691732394
9.768688729198967,0,29.5,13.5,10,7,17,-6.62369528541501,9.180463115741858,6.62369528541501,9.180463115741858,18.87136090168717,72.6554368234064,-6.796608515224632,88.72350308683714
10.28631713321252,0,27.5,11.5,11,7,18,-2.507453186975376,10.05184023614058,2.507453186975376,10.05184023614058,17.64176719263917,74.24158201439406,-6.018936475538207,90.59944812193946
11.1306004764577,0,29.5,11.5,11,7,18,-6.500363867915942,10.47284635677249,6.500363867915942,10.47284635677249,18.12186024790136,72.33818148115142,-6.018936475538207,90.59944812193946
10.66292171727281,0,29.5,13.5,11,7,18,-5.463039593717667,10.13335841248942,5.463039593717667,10.13335841248942,18.12186024790136,72.33818148115142,-6.154538075203218,88.61072169890052
10.1726370723981,0,29.5,15.5,11,7,18,-4.353012751873833,9.770076900613255,4.353012751873833,9.770076900613255,18.12186024790136,72.33818148115142,-6.29636530403951,86.62251439435362
10.39984905423041,0,25.5,11.5,12,7,19,2.727844021914281,10.65775056397035,-2.727844021914281,10.65775056397035,16.46413029684211,75.86048048885532,-5.389311759973409,90.50005524860191
11.16933825649311,0,27.5,11.5,12,7,19,-1.297963728921417,11.03754374801145,1.297963728921417,11.03754374801145,16.903341030911,73.94465836015473,-5.389311759973409,90.50005524860191
10.74843137861314,0,27.5,13.5,12,7,19,-0.2622556129256877,10.72280559262053,0.2622556129256877,10.72280559262053,16.903341030911,73.94465836015473,-5.510912196086403,88.50909557779923
11.55774347783664,0,29.5,13.5,12,7,19,-4.268089939111688,11.10929358095856,4.268089939111688,11.10929358095856,17.36588711632228,72.03341238619755,-5.510912196086403,88.50909557779923
10.65845384350255,0,29.5,17.5,12,7,19,-2.157861943576238,10.44936773508202,2.157861943576238,10.44936773508202,17.36588711632228,72.03341238619755,-5.771294941229697,84.5284567468258
11.31923563449639,0,25.5,11.5,13,7,20,3.886768350077806,11.71919242368942,-3.886768350077806,11.71919242368942,15.73714318960571,75.58314957713789,-4.758378920509227,90.41161429816414
12.82276087193329,0,29.5,11.5,13,7,20,-3.903834237752788,12.36768875452992,3.903834237752788,12.36768875452992,16.60362386296597,71.74128866977509,-4.758378920509227,90.41161429816414
11.29212938589405,0,27.5,15.5,13,7,20,1.884956558721679,11.48563096178382,-1.884956558721679,11.48563096178382,16.15908546308579,73.6601147161746,-4.978355339308822,86.42603774326345
12.06583635387917,0,29.5,15.5,13,7,20,-2.113902395101752,11.8339636232667,2.113902395101752,11.8339636232667,16.60362386296597,71.74128866977509,-4.978355339308822,86.42603774326345
10.88369066185763,0,27.5,17.5,13,7,20,2.953757043802509,11.17594318872153,-2.953757043802509,11.17594318872153,16.15908546308579,73.6601147161746,-5.096130433279047,84.43376102010379
11.65948431688153,0,29.5,17.5,13,7,20,-1.127842025777354,11.53993834950452,1.127842025777354,11.53993834950452,16.60362386296597,71.74128866977509,-5.096130433279047,84.43376102010379
10.78379584707356,0,29.5,21.5,13,7,20,1.05962447566416,10.88767561089287,-1.05962447566416,10.88767561089287,16.60362386296597,71.74128866977509,-5.349177429529283,80.45035736402914
11.57354876483195,0,23.5,11.5,14,7,21,9.003451802608041,12.52083866018921,-9.003451802608041,12.52083866018921,14.62087398863166,77.25161810603063,-4.126287331990776,90.33415743781529
12.23920413494137,0,25.5,11.5,14,7,21,5.077010688628,12.80410022779043,-5.077010688628,12.80410022779043,15.00492038286022,75.31807551975821,-4.126287331990776,90.33415743781529
12.93710860257098,0,27.5,11.5,14,7,21,1.22927548522637,13.08168378852418,-1.22927548522637,13.08168378852418,15.40918526199912,73.38809508360332,-4.126287331990776,90.33415743781529
11.24856946543905,0,23.5,13.5,14,7,21,9.971643365866539,12.26826694803482,-9.971643365866539,12.26826694803482,14.62087398863166,77.25161810603063,-4.219625536812758,88.33945890710447
11.91565469387352,0,25.5,13.5,14,7,21,5.976356845973132,12.56303837118246,-5.976356845973132,12.56303837118246,15.00492038286022,75.31807551975821,-4.219625536812758,88.33945890710447
12.61505501005119,0,27.5,13.5,14,7,21,2.063638892752824,12.85171790235081,-2.063638892752824,12.85171790235081,15.40918526199912,73.38809508360332,-4.219625536812758,88.33945890710447
13.34917682159757,0,29.5,13.5,14,7,21,-1.76904391951694,13.13449245717208,1.76904391951694,13.13449245717208,15.83526479289746,71.4619654081806,-4.219625536812758,88.33945890710447
11.57665056116647,0,25.5,15.5,14,7,21,6.933866053106149,12.30638641875505,-6.933866053106149,12.30638641875505,15.00492038286022,75.31807551975821,-4.317275984326524,86.345005645955
12.27761983649332,0,27.5,15.5,14,7,21,2.951387322355072,12.60703812316715,-2.951387322355072,12.60703812316715,15.40918526199912,73.38809508360332,-4.317275984326524,86.345005645955
13.01338470224849,0,29.5,15.5,14,7,21,-0.9470507071403886,12.90134529147982,0.9470507071403886,12.90134529147982,15.83526479289746,71.4619654081806,-4.317275984326524,86.345005645955
11.92367416476535,0,27.5,17.5,14,7,21,3.897813698281897,12.3461856237951,-3.897813698281897,12.3461856237951,15.40918526199912,73.38809508360332,-4.419543971830131,84.35081505237515
12.66116438480849,0,29.5,17.5,14,7,21,-0.07131781321374951,12.65295559792972,0.07131781321374951,12.65295559792972,15.83526479289746,71.4619654081806,-4.419543971830131,84.35081505237515
11.5519758327719,0,27.5,19.5,14,7,21,4.908934557325337,12.06750213614355,-4.908934557325337,12.06750213614355,15.40918526199912,73.38809508360332,-4.526764250373592,82.35690620706924
