yRC,xRC,Upper_Beam,Lower_Beam,Ride,Frame_Height,Frame_h_ground,y1,y2,xL,yL,xR,yR,Upper_arm_angle,Upper_arm_length,Lower_arm_angle,Lower_arm_length,KPU,KPL,Scrub Radius,King Pin offset,Caster offset,Caster angle
,5.304161731993744,-5.253147818371608,4.911382436116184,7
10.93375999232354,0,33,35,21,31,52,18.5,58.5,183.963824861511,29.21936279510177,-183.963824861511,29.21936279510177,5.99394552625592,62.24660183065298,2.149733147518305,66.64690540452722,-1.906295636743216,-8.6,5.304161731993744,-5.253147818371608,4.911382436116184,7
11.01178576470645,0,34,35,21,31,52,18.5,58.5,180.6312810921635,29.09426730826439,-180.6312810921635,29.09426730826439,6.091624066029122,61.2521579063984,2.149733147518305,66.64690540452722,-1.906295636743216,-8.6,5.304161731993744,-5.253147818371608,4.911382436116184,7
10.94583967950551,0,32,36,21,31,52,18.5,58.5,186.0994554324515,29.46415607593184,-186.0994554324515,29.46415607593184,5.899339175044977,63.24122097759766,2.182472017925329,65.647619911159,-1.906295636743216,-8.6,5.304161731993744,-5.253147818371608,4.911382436116184,7
10.96298219861029,0,31,37,21,31,52,18.5,58.5,188.1265493913593,29.7123277628235,-188.1265493913593,29.7123277628235,5.807662808980742,64.23600720788009,2.216222982747459,64.64835651429972,-1.906295636743216,-8.6,5.304161731993744,-5.253147818371608,4.911382436116184,7
11.03625145695806,0,32,37,21,31,52,18.5,58.5,184.9044530322654,29.58763363127962,-184.9044530322654,29.58763363127962,5.899339175044977,63.24122097759766,2.216222982747459,64.64835651429972,-1.906295636743216,-8.6,5.304161731993744,-5.253147818371608,4.911382436116184,7
11.11179830661118,0,33,37,21,31,52,18.5,58.5,181.6543221468381,29.46185457224606,-181.6543221468381,29.46185457224606,5.99394552625592,62.24660183065298,2.216222982747459,64.64835651429972,-1.906295636743216,-8.6,5.304161731993744,-5.253147818371608,4.911382436116184,7
11.18973062339549,0,34,37,21,31,52,18.5,58.5,178.3757892559833,29.33497636439564,-178.3757892559833,29.33497636439564,6.091624066029122,61.2521579063984,2.216222982747459,64.64835651429972,-1.906295636743216,-8.6,5.304161731993744,-5.253147818371608,4.911382436116184,7
11.12948396155181,0,32,38,21,31,52,18.5,58.5,183.6822279864249,29.71392405607016,-183.6822279864249,29.71392405607016,5.899339175044977,63.24122097759766,2.251033686317734,63.64911625466609,-1.906295636743216,-8.6,5.304161731993744,-5.253147818371608,4.911382436116184,7
11.20498340250975,0,33,38,21,31,52,18.5,58.5,180.4599386013587,29.58726173747479,-180.4599386013587,29.58726173747479,5.99394552625592,62.24660183065298,2.251033686317734,63.64911625466609,-1.906295636743216,-8.6,5.304161731993744,-5.253147818371608,4.911382436116184,7
11.28286682522755,0,34,38,21,31,52,18.5,58.5,177.2091669416702,29.45947983261282,-177.2091669416702,29.45947983261282,6.091624066029122,61.2521579063984,2.251033686317734,63.64911625466609,-1.906295636743216,-8.6,5.304161731993744,-5.253147818371608,4.911382436116184,7
11.37895482737311,0,34,39,21,31,52,18.5,58.5,176.0154219175309,29.58687787210587,-176.0154219175309,29.58687787210587,6.091624066029122,61.2521579063984,2.286954809500708,62.64990023934595,-1.906295636743216,-8.6,5.304161731993744,-5.253147818371608,4.911382436116184,7
10.93185615325893,0,28,33,21,31,52,18.5,59.5,179.0791261628709,28.72883112838451,-179.0791261628709,28.72883112838451,6.411892338485681,67.15904891545478,2.087114971053753,68.64553882081486,-1.738953027661798,-8.6,5.304161731993744,-5.169476513830899,5.034166997019089,7
11.01377534240303,0,28,34,21,31,52,18.5,59.5,178.0660459048422,28.84267921245718,-178.0660459048422,28.84267921245718,6.411892338485681,67.15904891545478,2.11796153976722,67.64621201516016,-1.738953027661798,-8.6,5.304161731993744,-5.169476513830899,5.034166997019089,7
10.9486974574462,0,34,36,21,32,53,18.5,59.5,185.9742173762751,29.45938328415683,-185.9742173762751,29.45938328415683,6.108280465818528,61.08576278394587,2.182472017925329,65.647619911159,-1.738953027661798,-8.6,5.304161731993744,-5.169476513830899,5.034166997019089,7
10.96188433764274,0,33,37,21,32,53,18.5,59.5,188.1753645271697,29.71421689346633,-188.1753645271697,29.71421689346633,6.0100732820939,62.08017655380684,2.216222982747459,64.64835651429972,-1.738953027661798,-8.6,5.304161731993744,-5.169476513830899,5.034166997019089,7
11.0384243805004,0,34,37,21,32,53,18.5,59.5,184.8099593721241,29.58397675588716,-184.8099593721241,29.58397675588716,6.108280465818528,61.08576278394587,2.216222982747459,64.64835651429972,-1.738953027661798,-8.6,5.304161731993744,-5.169476513830899,5.034166997019089,7
10.98031487741775,0,32,38,21,32,53,18.5,59.5,190.2635943289259,29.97262556324394,-190.2635943289259,29.97262556324394,5.914962973558237,63.07476695959449,2.251033686317734,63.64911625466609,-1.738953027661798,-8.6,5.304161731993744,-5.169476513830899,5.034166997019089,7
11.05445875372421,0,33,38,21,32,53,18.5,59.5,186.9558890504273,29.84260570166775,-186.9558890504273,29.84260570166775,6.0100732820939,62.08017655380684,2.251033686317734,63.64911625466609,-1.738953027661798,-8.6,5.304161731993744,-5.169476513830899,5.034166997019089,7
11.13095121989749,0,34,38,21,32,53,18.5,59.5,183.6189248546787,29.71143572541976,-183.6189248546787,29.71143572541976,6.108280465818528,61.08576278394587,2.251033686317734,63.64911625466609,-1.738953027661798,-8.6,5.304161731993744,-5.169476513830899,5.034166997019089,7
