yRC,xRC,Upper_Beam,Lower_Beam,Ride,Frame_Height,Frame_h_ground,y1,y2,xL,yL,xR,yR,Upper_arm_angle,Upper_arm_length,Lower_arm_angle,Lower_arm_length
76,1.974934010881977,58.03447251418763
8.547156607431711,0,36,25,18,50,68,16,75,238.668,27.092,-238.668,27.092,8.471144633014832,47.51841748206689,1.974934010881977,58.03447251418763
8.624471783586369,0,37,25,18,50,68,16,75,233.0883534136546,26.8995983935743,-233.0883534136546,26.8995983935743,8.652541791114725,46.52956049652737,1.974934010881977,58.03447251418763
8.704998147949002,0,38,25,18,50,68,16,75,227.4637096774194,26.70564516129032,-227.4637096774194,26.70564516129032,8.841814560191672,45.5411901469428,1.974934010881977,58.03447251418763
8.550585984214303,0,34,25,18,48,66,16,73,238.4166666666667,27.08333333333333,-238.4166666666667,27.08333333333333,8.130102354155978,49.49747468305832,1.974934010881977,58.03447251418763
8.624145098175822,0,35,25,18,48,66,16,73,233.1115537848605,26.9003984063745,-233.1115537848605,26.9003984063745,8.297144969836873,48.50773134253961,1.974934010881977,58.03447251418763
8.700631209957249,0,36,25,18,48,66,16,73,227.764,26.716,-227.764,26.716,8.471144633014832,47.51841748206689,1.974934010881977,58.03447251418763
8.56648866818589,0,32,25,18,46,64,16,71,237.255905511811,27.04330708661417,-237.255905511811,27.04330708661417,7.815293546766878,51.478150704935,1.974934010881977,58.03447251418763
8.636767882098844,0,33,25,18,46,64,16,71,232.2173913043478,26.8695652173913,-232.2173913043478,26.8695652173913,7.96961039432136,50.48762224545735,1.974934010881977,58.03447251418763
8.709730575924857,0,34,25,18,46,64,16,71,227.1388888888889,26.69444444444444,-227.1388888888889,26.69444444444444,8.130102354155978,49.49747468305832,1.974934010881977,58.03447251418763
8.529748601799037,0,29,25,18,44,62,16,69,239.9494163424125,27.13618677042802,-239.9494163424125,27.13618677042802,7.386043151267269,54.45181356024792,1.974934010881977,58.03447251418763
8.594819684745341,0,30,25,18,44,62,16,69,235.20703125,26.97265625,-235.20703125,26.97265625,7.523820438638627,53.46026561849463,1.974934010881977,58.03447251418763
8.662235482496055,0,31,25,18,44,62,16,69,230.4274509803922,26.8078431372549,-230.4274509803922,26.8078431372549,7.666804261814177,52.46903848937962,1.974934010881977,58.03447251418763
8.512313436921694,0,26,25,18,42,60,16,67,241.2423076923077,27.18076923076923,-241.2423076923077,27.18076923076923,7.001267557495338,57.42821606144492,1.974934010881977,58.03447251418763
8.572987296391553,0,27,25,18,42,60,16,67,236.7837837837838,27.02702702702702,-236.7837837837838,27.02702702702702,7.125016348901798,56.43580423808985,1.974934010881977,58.03447251418763
8.63573054319394,0,28,25,18,42,60,16,67,232.2906976744186,26.87209302325581,-232.2906976744186,26.87209302325581,7.253194612725333,55.44366510251644,1.974934010881977,58.03447251418763
8.700650884165659,0,29,25,18,42,60,16,67,227.7626459143969,26.715953307393,-227.7626459143969,26.715953307393,7.386043151267269,54.45181356024792,1.974934010881977,58.03447251418763
8.628849270664507,0,25,25,18,40,58,16,65,232.7777777777778,26.88888888888889,-232.7777777777778,26.88888888888889,6.88172363063695,58.42088667591413,1.974934010881977,58.03447251418763
8.689571332810706,0,26,25,18,40,58,16,65,228.5269230769231,26.74230769230769,-228.5269230769231,26.74230769230769,7.001267557495338,57.42821606144492,1.974934010881977,58.03447251418763
8.501941703561553,0,40,25,18,42,60,16,65,242.0159574468085,27.20744680851064,-242.0159574468085,27.20744680851064,6.632514615138462,43.28972164382672,1.974934010881977,58.03447251418763
